t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20,path_21,path_22,path_23,path_24,path_25,path_26,path_27,path_28,path_29,path_30,path_31,path_32,path_33,path_34,path_35,path_36,path_37,path_38,path_39,path_40,path_41,path_42,path_43,path_44,path_45,path_46,path_47,path_48,path_49
0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.001000,0.988604,0.992215,0.994819,1.001779,1.022170,0.991738,0.999928,1.002555,0.988572,0.990794,1.004824,0.993600,1.005930,1.003079,0.992157,1.003545,0.989903,0.973271,1.005049,1.008397,0.973015,0.996381,1.000100,1.014277,1.015036,0.995049,0.993890,1.000575,1.007531,1.011102,1.018481,0.986309,0.994920,0.988360,1.017866,0.992054,0.999498,1.003634,0.997338,0.997228,0.995919,1.009389,0.981295,1.006578,1.012406,0.991281,0.989888,0.993263,0.997036,0.972720
0.002000,0.975682,1.012798,0.983039,1.015266,1.034271,0.995424,0.985060,0.995343,0.998024,0.992351,0.991998,0.992962,1.005991,0.996674,0.979303,1.003258,0.991803,0.976603,1.001853,1.004048,0.995693,0.989302,0.977239,1.014650,1.016811,1.001226,0.993598,1.011147,1.001185,1.014241,1.026508,1.002283,0.997143,0.990439,1.022365,0.999191,0.979260,1.007745,0.985559,0.995719,0.985418,1.018882,0.998220,1.002677,1.020219,1.004943,0.994072,0.978550,0.988912,0.975653
0.003000,0.974836,1.019748,0.992366,1.002638,1.028194,0.994214,0.975167,0.994295,0.994046,0.996131,1.006316,0.976053,1.020545,0.999453,0.970022,1.000162,0.986653,0.973456,0.999505,0.994243,0.997401,0.973612,0.969121,1.015461,0.994530,0.998259,1.004734,1.023267,1.005174,1.037642,1.026603,1.007081,0.984853,0.995376,1.019876,0.995841,0.978762,1.012019,0.979568,1.002657,0.982825,1.017766,1.013269,1.015395,1.015779,1.002096,1.000034,0.977207,0.997514,0.977796
0.004000,0.970978,1.025549,0.999458,1.018646,1.036262,1.004768,0.980252,0.986375,0.990831,0.998187,1.003722,0.974357,1.022049,1.002864,0.969837,0.999958,0.981664,0.972485,1.016065,0.988988,1.004389,0.986076,0.982862,1.014611,0.979020,1.011273,1.012385,1.006164,0.999431,1.040967,1.031693,1.026348,0.978750,0.993251,1.005379,0.999667,0.988214,0.990893,0.974849,1.012907,0.972825,1.014405,1.016951,1.029525,0.996000,0.994882,0.979409,0.964163,1.004679,0.978637
0.005000,0.969339,1.035226,0.995199,1.017673,1.034185,1.003874,0.985925,0.979343,0.992746,1.003636,1.002839,0.978183,1.023084,1.010016,0.977774,0.998589,0.981608,0.973658,1.017970,0.990790,1.009813,0.987971,0.993711,0.999832,0.994629,1.012448,1.028300,0.993180,0.998117,1.042639,1.033030,1.035071,0.975481,0.996439,1.009919,1.017753,0.994129,0.993339,0.965559,1.019326,0.965374,0.999215,1.017010,1.026558,0.983945,0.987605,0.993208,0.965540,0.993359,0.966663
0.006000,0.960211,1.039026,1.003890,1.010677,1.024397,0.994029,0.988038,0.963812,1.005183,1.003101,1.012856,0.979388,1.036113,1.010568,0.980340,0.988701,0.968102,0.970469,1.015712,0.984414,1.025005,0.991034,1.002518,0.992475,0.999318,1.009352,1.012499,1.008719,0.997666,1.053854,1.012038,1.024189,0.976697,0.988444,1.009422,1.030846,1.010937,0.986178,0.963929,1.013507,0.973708,0.978388,1.001318,1.021809,0.983605,0.975246,0.977853,0.961618,0.987176,0.956253
0.007000,0.972821,1.036388,0.999056,1.016041,1.045722,1.001875,0.988793,0.969557,0.996726,1.001666,0.999014,0.994005,1.048042,1.022163,0.986875,0.983184,0.963300,0.963704,1.010657,0.967456,1.030141,0.991467,1.018048,0.980304,0.996473,1.012923,1.016238,1.013884,0.997848,1.055273,1.007781,1.025210,0.976134,1.002704,0.986155,1.018030,1.023873,0.993237,0.955264,1.022773,0.967353,0.966651,1.007197,1.021004,1.000833,0.996336,0.974729,0.958826,0.976277,0.933327
0.008000,0.960454,1.012701,1.010979,1.034904,1.054085,1.002127,0.992582,0.974160,1.005116,1.003718,1.017107,0.987473,1.044052,1.033653,0.971035,0.977284,0.955009,0.954862,1.009051,0.982610,1.034266,0.975412,1.009855,0.971530,1.002162,1.025247,1.022295,1.015801,1.008648,1.040359,1.015172,1.016725,0.987652,1.003565,0.989424,1.019134,1.018259,0.993545,0.954686,1.027480,0.974625,0.962713,1.014595,1.011754,1.013908,1.001747,0.967819,0.958899,0.980562,0.939104
0.009000,0.965983,1.016942,1.005294,1.034575,1.051067,1.012243,1.004740,0.974204,1.003905,1.003066,1.004343,0.996685,1.064232,1.047972,0.969685,0.996793,0.949073,0.954266,0.993108,0.975219,1.016894,0.976280,1.020183,0.984887,1.010166,1.049223,1.035710,1.013040,0.997996,1.028549,1.010396,1.019941,0.970241,1.002453,0.990291,1.004986,1.030550,0.996785,0.930463,1.020276,0.978764,0.967535,1.003320,1.012510,1.015332,1.007278,0.979828,0.972480,0.980412,0.935174
